Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
مَنْدِس علی,@AliHzH88,2023-09-21T22:29:16.000Z,False,زنان #فمنیست,6,20,193,3K,['#فمنیست'],[],['\\u270b'],https://pbs.twimg.com/profile_images/1769345797575892992/cIE0SSfM_normal.jpg,https://x.com/AliHzH88/status/1704986177609322999,tweet_id:1704986177609322999
dr. baltazar,@dr_nely,2023-03-06T04:15:24.000Z,False,عرض ادب به #فمنیست های از «تورک بودن خود شرمنده» آزربایجان ,2,7,96,2.6K,['#فمنیست'],[],['\\U0001fae0'],https://pbs.twimg.com/profile_images/1601468274276868096/2B6jM6J2_normal.jpg,https://x.com/dr_nely/status/1632595712809762816,tweet_id:1632595712809762816
Mason,@MasonRaziel,2024-04-18T14:59:48.000Z,False,تیپیکال #لیبرال و #فمنیست و #چپ...!,6,1,15,638,"['#لیبرال', '#فمنیست', '#چپ']",[],[],https://pbs.twimg.com/profile_images/1729990271411097600/NnMHboi9_normal.jpg,https://x.com/MasonRaziel/status/1780974518397284379,tweet_id:1780974518397284379
غریبه,@gharibe1010,2023-12-25T16:21:49.000Z,False,#حقوق_زنان در فرقه منحوس #رجوی#فمنیست ها و مدعیان حقوق زن چرا صداشون در نمیاد#Palestine,2,30,72,1.4K,"['#حقوق_زنان', '#رجوی', '#فمنیست', '#Palestine']",[],[],https://pbs.twimg.com/profile_images/1728104233705107456/v2eR8vtX_normal.jpg,https://x.com/gharibe1010/status/1739320553305985310,tweet_id:1739320553305985310
دکتر هانتر,@VoiceFromFutur,2023-09-11T18:51:22.000Z,True,پاچه گرفتن از صفات بارز #فمنیست هاست ,18,14,118,5.5K,['#فمنیست'],[],['\\U0001f604'],https://pbs.twimg.com/profile_images/1533109526441783296/GFqqOtc-_normal.jpg,https://x.com/VoiceFromFutur/status/1701307461221708048,tweet_id:1701307461221708048
