Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
jailani behieh,@JBehieh,2024-07-18T11:48:58.000Z,False,"حالا پس از یکسال،علینژاد نه تنها انصراف نداده بلکه با تاسیس یک موسسه بهمراه نازنین بنیادی و زکا و چند تن دیگر،راه دریافت غرامت را سهل نموده تا نشان دهد، #زن_زندگى_آزادى فقط یک کاسبی بود و بس
معلوم نیست چی میزنه این ریختی شده",0,1,6,30,"['#زن', '_زندگى_آزادى']",[],[],https://pbs.twimg.com/profile_images/1801971903420059648/2htATyzL_normal.jpg,https://x.com/JBehieh/status/1813903788060844136,tweet_id:1813903788060844136
Pazel,@Pazelrhm,2024-07-16T10:48:40.000Z,False,خونه بدون زن این شکلیه، فقط کافیه‌ تمیزگونه زندگی کنیم!,209,97,5.3K,283K,[],[],[],https://pbs.twimg.com/profile_images/1767768590009217024/Tsw5tf4r_normal.jpg,https://x.com/Pazelrhm/status/1813163839711510607,tweet_id:1813163839711510607
قوما,@Qawma123,2024-07-18T07:42:29.000Z,False,"فقط یک زن می‌تواند اینقدر مهربان باشد!

زنان هزارستان باید سطح جهان احترام و حرمت شود.

مادر‌ معنوی مهاجران. تولدت مبارک خانوم مرکل",0,1,20,283,[],[],[],https://pbs.twimg.com/profile_images/1805715215125794817/mYnqIShX_normal.jpg,https://x.com/Qawma123/status/1813841760793010384,tweet_id:1813841760793010384
Mehrdad prop trader,@MehrdadProp,2024-07-16T16:03:50.000Z,False,"۲۱ نکته Dark روان زنانرشتو۱- گریه کردن مقابل یک دختر مانند خونریزی در مقابل کوسه است ۲- اگر میخواید یک دختر بشناسید به رفتارش نگاه کنید نه گفتارش ( چون اکثر اوقات دروغ میگن ) 
۳-اگر میخواید در بحث و جدل با یک زن پیروز بشید فقط سکوت کنید و نتیجه حیرت انگیزش ببینید",155,102,1.7K,127K,[],[],"['\\U0001f987', '\\U0001f488', '\\u26b0\\ufe0f']",https://pbs.twimg.com/profile_images/1803353175031676928/yFyXF3Pt_normal.jpg,https://x.com/MehrdadProp/status/1813243153824030814,tweet_id:1813243153824030814
Yazdan Hodaei,@YazdanH,2024-07-18T07:29:27.000Z,False,"خواستین بفهمین برای یه زن چقدر مهمین به این توجه کنید‌که زن‌ها اگر یکی رو بخوان براشون‌مهم نیست زن داره دوست دختر داره بچه داره شکمش گنده است بوی عرق می‌ده کچله بی‌سواده فقط کافیه بخوان … بقیه حرفا *س و شعره برای حفظ ظاهر 

(عکس تزئینی است)",10,7,17,3.7K,[],[],[],https://pbs.twimg.com/profile_images/1516776335128944642/BXqEkqDl_normal.jpg,https://x.com/YazdanH/status/1813838477940650139,tweet_id:1813838477940650139
