Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
sultan mirza,@MuneerButt65735,2024-07-18T09:35:38.000Z,False,"مرد فقط ایک غسل سے  پاک ہو جاتا ہے۔
صدیوں مثال بنتا ہے بنتِ ہوا کا ماضی#اردو_زبان",0,1,2,12,['#اردو_زبان'],[],"['\\U0001f5a4', '\\U0001f494']",https://pbs.twimg.com/profile_images/1781305241989767168/xQ1Wbryx_normal.jpg,https://x.com/MuneerButt65735/status/1813870233742143752,tweet_id:1813870233742143752
سبحان برکتی,@sobhan_70,2024-07-17T21:54:40.000Z,True,"فقط کافیه مرد نباشی و شیعه !

تبریک میگم شما الان ۱۰ امتیاز تو کابینه رئیس جمهور سایه(ظریف) داری :)",130,89,724,16K,[],[],[],https://pbs.twimg.com/profile_images/1575092578533494786/0h9w2ONg_normal.jpg,https://x.com/sobhan_70/status/1813693831604281767,tweet_id:1813693831604281767
Sina,@thelittlesina,2024-07-17T13:09:33.000Z,False,"توییتی بسیار زیبا و آموزنده از امین آقا، مهندس سازه‌ی مملکت. فقط یه‌چیزی، یک مرد واقعی قبل از همه‌ی این چیزا املای انگلیسیش رو تقویت می‌کنه.
Desinger :)))))))))",1,1,11,392,[],[],[],https://pbs.twimg.com/profile_images/1791501635065188352/IyrkVYVv_normal.jpg,https://x.com/thelittlesina/status/1813561680422662434,tweet_id:1813561680422662434
M؛,@MiiimSaaa,2024-07-13T12:48:40.000Z,False,مولان؛ خودش را به شکل یک مرد جا می‌زند و تصمیم می‌گیرد به جای پدرش به خدمت اجباری برود. شجاعت مولان بعد از این تصمیم به سرعت به محک گذاشته می‌شود اما او موفق می‌شود دشمنانش را فقط با شجاعت شکست بدهد.,0,1,2,276,[],[],[],https://pbs.twimg.com/profile_images/1759740973754593280/TViwYtEV_normal.jpg,https://x.com/MiiimSaaa/status/1812106872310112351,tweet_id:1812106872310112351
تهمینه تاجیک,@ABkho134,2024-07-14T20:28:46.000Z,False,آیا اسلام به مرد و زن صادر شده یا فقط برای زنان  ؟ وقتی زن تجاوز گروهی میشود کجاست ملا وقتی پیش چشم شوهرش تجاوز میشود کجاست ملا حق تعلیم ندارن کجاست ملا در زندان زنان برهنه میشوند کجاست ملا ؟ یا اسلام فقط برای زن است .وقتی یک ملایی کثیف لواطت میکند با بچه ها کجاست اسلام ملا ها ؟,1,1,19,1.2K,[],[],[],https://pbs.twimg.com/profile_images/1770947797618966528/whLCpNdL_normal.jpg,https://x.com/ABkho134/status/1812585048979165489,tweet_id:1812585048979165489
